n_samples,dataset,vsa,hv_dim,depth,device,time_per_sample,accuracy,final_flag,cos_sim_mean,cos_sim_std,decoder_settings
500,zinc,HRR,5120,3,cuda,4.972628383290022,0.276,81.8,0.9900511143812457,0.01427041905685707,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5120,4,cuda,5.075664011776447,0.3,73.8,0.9895453143635548,0.031094111588725756,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5120,5,cuda,4.996344941671937,0.33,70.2,0.985438602737378,0.060071227744875465,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5120,6,cuda,5.157376176271588,0.342,71.0,0.9781426579949366,0.10756880543891284,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5632,3,cuda,4.978922351773829,0.332,82.8,0.9907872583776353,0.013044321697047414,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5632,4,cuda,5.114265881057829,0.342,75.6,0.9890362452830218,0.02418810038714508,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5120,3,cuda,4.870897581640631,0.278,82.2,0.9902220178434917,0.013614058763330559,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5632,5,cuda,5.144535008851439,0.378,71.0,0.9858128042318779,0.05449671077589834,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5120,4,cuda,4.9934701497145,0.3,73.8,0.9895437654137971,0.03109547737793661,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5632,6,cuda,5.22004506925866,0.366,70.2,0.9803256533991214,0.09766448059429393,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5120,5,cuda,5.037365090098232,0.33,69.8,0.9856816612512698,0.05986200538663936,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,6144,3,cuda,5.043119223136455,0.34,84.6,0.9913962466086198,0.01374792923334788,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5120,6,cuda,5.171275721538812,0.346,70.8,0.9780932711780638,0.1075694422852808,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,6144,4,cuda,5.089703717615455,0.364,79.6,0.9917417604472176,0.017924502129245002,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5632,3,cuda,4.985948017917574,0.334,83.0,0.9907804286955213,0.013185878453419907,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,6144,5,cuda,5.18072132300958,0.368,71.8,0.9885172157798109,0.04645237388537085,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5632,4,cuda,4.95801090284437,0.342,75.4,0.9891031407246514,0.02382238011264151,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,6144,6,cuda,5.33148972351104,0.37,72.6,0.9734912322994966,0.12024965881028453,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5632,5,cuda,5.010430601358414,0.382,71.2,0.9856310742945622,0.05463315266473914,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7168,3,cuda,5.149222682148218,0.336,87.2,0.9904724440457637,0.01750361853417572,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,5632,6,cuda,5.109285915404558,0.364,70.2,0.9848383170834275,0.06355067071941962,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7168,4,cuda,5.279089862089604,0.364,77.2,0.9920971365117893,0.019235186162374344,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,6144,3,cuda,4.8846361412853,0.34,84.8,0.9913996159545975,0.013741130220115408,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,6144,4,cuda,4.960043041002005,0.366,79.8,0.9917176378948855,0.017951786892721738,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7168,5,cuda,5.335193303387612,0.346,71.8,0.9853420257571757,0.08415606039112791,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,6144,5,cuda,5.056379411775619,0.366,71.8,0.9884112337569004,0.04655104471409742,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7168,6,cuda,5.529497211571782,0.346,66.4,0.9786023088241013,0.11274639505292788,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,6144,6,cuda,5.148600528940558,0.372,72.6,0.9720802889227431,0.126701137819836,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7744,3,cuda,5.143775203395635,0.31,83.0,0.9920425404590557,0.013014144250055962,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7168,3,cuda,4.952208494823426,0.338,87.6,0.9904936324849398,0.01750776291433916,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7744,4,cuda,5.203968601316213,0.308,71.4,0.992286941073183,0.02139809125205586,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7168,4,cuda,5.097743725497276,0.362,77.2,0.9919320308883257,0.019472111401207286,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7744,5,cuda,5.366362695679069,0.322,67.4,0.9883603659640151,0.0474776728249056,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7168,5,cuda,5.207554754413664,0.346,71.8,0.9852877849205517,0.08415691577548229,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7744,6,cuda,5.556971519748738,0.3,64.2,0.9813610054409394,0.10642077895866862,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7168,6,cuda,5.387433058418334,0.35,67.4,0.9785737247419232,0.11274459896330616,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,8192,3,cuda,5.1879185096360745,0.288,82.2,0.9899368209490171,0.015003487542494932,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7744,3,cuda,4.974887735631317,0.31,82.8,0.9920660950074168,0.013000563697198103,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,8192,4,cuda,5.3070518529191615,0.302,68.6,0.9900869831948372,0.027233994630565438,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7744,4,cuda,5.037445877257735,0.308,71.8,0.9922956038004481,0.021389315931839174,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7744,5,cuda,5.201420525249094,0.322,67.4,0.9893661600434134,0.03908919764521201,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,7744,6,cuda,5.385323107944342,0.304,65.2,0.9813443843652284,0.10644082961790954,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,8192,3,cuda,4.993293753873557,0.288,82.2,0.9899450617906246,0.015003620752356055,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': False, 'use_one_initial_population': False, 'use_size_aware_pruning': True}"
500,zinc,HRR,8192,4,cuda,5.129367965817451,0.302,69.4,0.9898434625030368,0.027834994705155245,"{'initial_limit': 1024, 'limit': 512, 'beam_size': 32, 'pruning_method': 'negative_euclidean_distance', 'use_size_aware_pruning': True, 'use_one_initial_population': False, 'use_g3_instead_of_h3': False}"
