n_samples,dataset,vsa,hv_dim,depth,device,time_per_sample,accuracy,final_flag,cos_sim_mean,cos_sim_std,decoder_settings
1000,qm9,HRR,1024,3,cuda,0.061308637354522945,0.985,98.7,0.9996965080965468,0.004965906152740051,"{'beam_size': 256, 'initial_limit': 2048, 'limit': 1024, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': True, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
1000,qm9,HRR,1024,4,cuda,0.05481301321834326,0.985,98.7,0.9994306981130822,0.010472330082043228,"{'beam_size': 256, 'initial_limit': 2048, 'limit': 1024, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': True, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
1000,qm9,HRR,1024,5,cuda,0.05550988714024425,0.985,98.6,0.998612097219298,0.02679932855425043,"{'beam_size': 256, 'initial_limit': 2048, 'limit': 1024, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': True, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
1000,qm9,HRR,1024,6,cuda,0.0553587394785136,0.985,98.5,0.9972810324603792,0.05663603714541756,"{'beam_size': 256, 'initial_limit': 2048, 'limit': 1024, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': True, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
1000,qm9,HRR,1280,3,cuda,0.05492421373352408,0.945,94.6,0.9975679747130632,0.016515875402965657,"{'beam_size': 256, 'initial_limit': 2048, 'limit': 1024, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': True, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
1000,qm9,HRR,1280,4,cuda,0.05529271137528122,0.946,94.6,0.9963937860740023,0.028738842320493316,"{'beam_size': 256, 'initial_limit': 2048, 'limit': 1024, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': True, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
1000,qm9,HRR,1280,5,cuda,0.05600279134884477,0.946,94.6,0.9939493390777111,0.05579316361214014,"{'beam_size': 256, 'initial_limit': 2048, 'limit': 1024, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': True, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
1000,qm9,HRR,1280,6,cuda,0.05659629693813622,0.946,94.5,0.9927749605882381,0.06143547286157082,"{'beam_size': 256, 'initial_limit': 2048, 'limit': 1024, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': True, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
1000,qm9,HRR,1536,3,cuda,0.0558740357235074,0.987,99.2,0.9991161442659181,0.013939187751706281,"{'beam_size': 256, 'initial_limit': 2048, 'limit': 1024, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': True, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
1000,qm9,HRR,1536,4,cuda,0.05598576085455716,0.988,99.1,0.9981790149446154,0.02937240959283589,"{'beam_size': 256, 'initial_limit': 2048, 'limit': 1024, 'pruning_method': 'negative_euclidean_distance', 'use_g3_instead_of_h3': True, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
