dataset,property,exp_dir_name,best_epoch,number,value,state,batch_size,lr,weight_decay,depth,h1,h2,h3,h4,activation,norm,dropout
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1280-512-128_actlrelu_nmnone_dp0.0732724_bs192_lr0.000862736_wd0.0001_dep3_h11280_h2512_h3128_h496,59,0,0.0150975631549954,COMPLETE,192,0.0008627358286640176,0.0001,3,1280,512,128,96,leakyrelu,none,0.07327236865873835
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-896_actsilu_nmln_dp0.104014_bs256_lr0.000525421_wd0.0005_dep2_h11024_h2896_h3256_h432,49,1,0.016749121248722,COMPLETE,256,0.0005254210669345883,0.0005,2,1024,896,256,32,silu,lay_norm,0.10401360423556216
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1280-1024-192_actsilu_nmln_dp0.0397431_bs288_lr8.69904e-5_wd0_dep4_h11280_h21024_h3192_h496,59,2,0.0123894726857543,COMPLETE,288,8.699037355645859e-05,0.0,4,1280,1024,192,96,silu,lay_norm,0.03974313630683449
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1280-896_actlrelu_nmnone_dp0.0987591_bs32_lr0.00057532_wd0.0003_dep2_h11280_h2896_h3384_h4256,35,3,0.0238148774951696,COMPLETE,32,0.0005753204123625087,0.0003,2,1280,896,384,256,leakyrelu,none,0.09875911927287816
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-640-128_actsilu_nmnone_dp0.107868_bs288_lr0.000179976_wd0.0003_dep3_h11024_h2640_h3128_h4256,56,4,0.0117461215704679,COMPLETE,288,0.00017997562632086168,0.0003,3,1024,640,128,256,silu,none,0.10786844838313014
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1280-1024_actsilu_nmnone_dp0.0601757_bs416_lr0.000732507_wd0.0001_dep2_h11280_h21024_h3192_h4160,52,5,0.0166535563766956,COMPLETE,416,0.0007325068062521802,0.0001,2,1280,1024,192,160,silu,none,0.06017566196335394
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1792-640_actgelu_nmln_dp0.0373037_bs160_lr5.5842e-5_wd3e-5_dep2_h11792_h2640_h3384_h496,65,6,0.0141062708571553,COMPLETE,160,5.5842008357279656e-05,3e-05,2,1792,640,384,96,gelu,lay_norm,0.03730370207997085
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-1024_actgelu_nmln_dp0.179443_bs32_lr0.000293589_wd0.0003_dep2_h11024_h21024_h3512_h496,69,7,0.0128118945285677,COMPLETE,32,0.0002935887755377983,0.0003,2,1024,1024,512,96,gelu,lay_norm,0.17944315159066537
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-512-384_actsilu_nmnone_dp0.0474498_bs480_lr0.000333161_wd1e-5_dep3_h11024_h2512_h3384_h432,43,8,0.0122156403958797,COMPLETE,480,0.00033316087233016116,1e-05,3,1024,512,384,32,silu,none,0.04744981749936002
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1792-896_actsilu_nmnone_dp0.0354221_bs192_lr0.000467927_wd1e-6_dep2_h11792_h2896_h3320_h4160,67,9,0.0153408991172909,COMPLETE,192,0.00046792657831645605,1e-06,2,1792,896,320,160,silu,none,0.03542213588140979
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1280-512-320_actrelu_nmln_dp0.103666_bs512_lr0.000871083_wd0.0001_dep4_h11280_h2512_h3320_h4256,45,10,0.0144172869622707,COMPLETE,512,0.0008710833180680549,0.0001,4,1280,512,320,256,relu,lay_norm,0.10366593047274736
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1792-896-448_actlrelu_nmnone_dp0.108529_bs480_lr0.000459973_wd0.0005_dep4_h11792_h2896_h3448_h4256,29,11,0.0163879804313182,COMPLETE,480,0.00045997284763952845,0.0005,4,1792,896,448,256,leakyrelu,none,0.10852892694151534
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1280-512-384_actsilu_nmnone_dp0.0728928_bs480_lr0.000233586_wd0.0001_dep3_h11280_h2512_h3384_h496,52,12,0.0124282659962773,COMPLETE,480,0.00023358575039089866,0.0001,3,1280,512,384,96,silu,none,0.07289282857201235
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1280-640-128_actrelu_nmnone_dp0.166164_bs128_lr0.000231543_wd0.0003_dep3_h11280_h2640_h3128_h4256,59,13,0.0197852551937103,COMPLETE,128,0.00023154344338673766,0.0003,3,1280,640,128,256,relu,none,0.16616399549846717
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-768-64_actsilu_nmnone_dp0.0604085_bs512_lr0.000220333_wd3e-6_dep3_h11024_h2768_h364_h4256,79,14,0.0113479932770133,COMPLETE,512,0.00022033314750676274,3e-06,3,1024,768,64,256,silu,none,0.06040845359256418
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-896-128_actsilu_nmnone_dp0.0921362_bs480_lr0.000310136_wd3e-5_dep3_h11024_h2896_h3128_h4256,35,15,0.0137472553178668,COMPLETE,480,0.0003101359657494916,3e-05,3,1024,896,128,256,silu,none,0.09213622385676484
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-768-192_actrelu_nmnone_dp0.0620744_bs416_lr0.000103695_wd3e-6_dep3_h11024_h2768_h3192_h4192,86,16,0.0139583209529519,COMPLETE,416,0.00010369547842023099,3e-06,3,1024,768,192,192,relu,none,0.06207441351661696
