dataset,property,exp_dir_name,best_epoch,number,value,state,batch_size,lr,weight_decay,depth,h1,h2,h3,h4,activation,norm,dropout
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h768-256-128_actlrelu_nmnone_dp0.0732724_bs192_lr0.000862736_wd0.0001_dep3_h1768_h2256_h3128_h496,53,0,0.0001322435127804,COMPLETE,192,0.0008627358286640176,0.0001,3,768,256,128,96,leakyrelu,none,0.07327236865873835
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h512-768_actsilu_nmln_dp0.104014_bs256_lr0.000525421_wd0.0005_dep2_h1512_h2768_h3256_h432,196,1,9.955467248801142e-05,COMPLETE,256,0.0005254210669345883,0.0005,2,512,768,256,32,silu,lay_norm,0.10401360423556216
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h768-896-192_actsilu_nmln_dp0.0397431_bs288_lr8.69904e-5_wd0_dep4_h1768_h2896_h3192_h496,184,2,7.27106598787941e-05,COMPLETE,288,8.699037355645859e-05,0.0,4,768,896,192,96,silu,lay_norm,0.03974313630683449
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h768-768_actlrelu_nmnone_dp0.0987591_bs32_lr0.00057532_wd0.0003_dep2_h1768_h2768_h3384_h4256,25,3,0.0002900368708651,COMPLETE,32,0.0005753204123625087,0.0003,2,768,768,384,256,leakyrelu,none,0.09875911927287816
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h512-384-128_actsilu_nmnone_dp0.107868_bs288_lr0.000179976_wd0.0003_dep3_h1512_h2384_h3128_h4256,156,4,8.440269448328763e-05,COMPLETE,288,0.00017997562632086168,0.0003,3,512,384,128,256,silu,none,0.10786844838313014
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h768-1024_actsilu_nmnone_dp0.0601757_bs416_lr0.000732507_wd0.0001_dep2_h1768_h21024_h3192_h4160,73,5,0.0001294515386689,COMPLETE,416,0.0007325068062521802,0.0001,2,768,1024,192,160,silu,none,0.06017566196335394
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h1280-256_actgelu_nmln_dp0.0373037_bs160_lr5.5842e-5_wd3e-5_dep2_h11280_h2256_h3384_h496,193,6,8.577964035794139e-05,COMPLETE,160,5.5842008357279656e-05,3e-05,2,1280,256,384,96,gelu,lay_norm,0.03730370207997085
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h512-1024_actgelu_nmln_dp0.179443_bs32_lr0.000293589_wd0.0003_dep2_h1512_h21024_h3512_h496,103,7,0.0001016388850985,COMPLETE,32,0.0002935887755377983,0.0003,2,512,1024,512,96,gelu,lay_norm,0.17944315159066537
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h512-128-384_actsilu_nmnone_dp0.0474498_bs480_lr0.000333161_wd1e-5_dep3_h1512_h2128_h3384_h432,114,8,9.222899097949266e-05,COMPLETE,480,0.00033316087233016116,1e-05,3,512,128,384,32,silu,none,0.04744981749936002
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h1280-896_actsilu_nmnone_dp0.0354221_bs192_lr0.000467927_wd1e-6_dep2_h11280_h2896_h3320_h4160,75,9,0.00011746500968,COMPLETE,192,0.00046792657831645605,1e-06,2,1280,896,320,160,silu,none,0.03542213588140979
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h768-256-320_actrelu_nmln_dp0.103666_bs512_lr0.000871083_wd0.0001_dep4_h1768_h2256_h3320_h4256,144,10,8.193333633244038e-05,COMPLETE,512,0.0008710833180680549,0.0001,4,768,256,320,256,relu,lay_norm,0.10366593047274736
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h1280-768-448_actlrelu_nmnone_dp0.108529_bs480_lr0.000459973_wd0.0005_dep4_h11280_h2768_h3448_h4256,66,11,0.0001100778754334,COMPLETE,480,0.00045997284763952845,0.0005,4,1280,768,448,256,leakyrelu,none,0.10852892694151534
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h1024-128-320_actrelu_nmln_dp0.119234_bs480_lr0.000456024_wd0.0001_dep4_h11024_h2128_h3320_h4256,108,12,9.491044329479335e-05,COMPLETE,480,0.0004560235539050873,0.0001,4,1024,128,320,256,relu,lay_norm,0.11923437097266815
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h512-768-384_actsilu_nmln_dp0.0105197_bs224_lr0.00023164_wd0_dep4_h1512_h2768_h3384_h4160,89,13,8.23633890831843e-05,COMPLETE,224,0.00023164046502638852,0.0,4,512,768,384,160,silu,lay_norm,0.010519745526078605
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h1024-896-192_actsilu_nmln_dp0.0713234_bs192_lr7.07595e-5_wd0.0005_dep4_h11024_h2896_h3192_h4128,111,14,8.523186988895759e-05,COMPLETE,192,7.075945911249881e-05,0.0005,4,1024,896,192,128,silu,lay_norm,0.0713233540841955
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h512-640-128_actsilu_nmln_dp0.139128_bs256_lr0.000119751_wd0_dep4_h1512_h2640_h3128_h432,175,15,8.656846330268309e-05,COMPLETE,256,0.00011975093053500538,0.0,4,512,640,128,32,silu,lay_norm,0.13912800701742656
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h512-512-512_actlrelu_nmln_dp0.106326_bs448_lr0.000434505_wd0.0001_dep4_h1512_h2512_h3512_h4192,115,16,9.197157487506048e-05,COMPLETE,448,0.00043450451954575234,0.0001,4,512,512,512,192,leakyrelu,lay_norm,0.10632631958534583
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h512-256-128_actrelu_nmln_dp0.0351507_bs352_lr0.000715941_wd0.0001_dep4_h1512_h2256_h3128_h4256,106,17,9.5029165095184e-05,COMPLETE,352,0.0007159410708215114,0.0001,4,512,256,128,256,relu,lay_norm,0.03515073996291265
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h768-768_actlrelu_nmln_dp0.0236415_bs352_lr6.34805e-5_wd0_dep2_h1768_h2768_h3256_h4128,99,18,0.0001287427003262,COMPLETE,352,6.3480455939247e-05,0.0,2,768,768,256,128,leakyrelu,lay_norm,0.02364154165780207
QM9_SMILES_HRR_1600_F64_G1NG3,qed,pr_qed_QM9SmilesHRR1600F64G1NG3_h1024-384-256_actsilu_nmln_dp0.0337432_bs352_lr8.00349e-5_wd0.0003_dep4_h11024_h2384_h3256_h432,120,19,8.731863636057824e-05,COMPLETE,352,8.003491851806567e-05,0.0003,4,1024,384,256,32,silu,lay_norm,0.033743185566231626
