dataset,property,exp_dir_name,best_epoch,number,value,state,batch_size,lr,weight_decay,depth,h1,h2,h3,h4,activation,norm,dropout
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h512-256-128_actlrelu_nmnone_dp0.0732724_bs192_lr0.000862736_wd0.0001_dep3_h1512_h2256_h3128_h496,53,0,0.0074979700148105,COMPLETE,192,0.0008627358286640176,0.0001,3,512,256,128,96,leakyrelu,none,0.07327236865873835
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h512-512_actsilu_nmln_dp0.104014_bs256_lr0.000525421_wd0.0005_dep2_h1512_h2512_h3256_h432,75,1,0.0064162644557654,COMPLETE,256,0.0005254210669345883,0.0005,2,512,512,256,32,silu,lay_norm,0.10401360423556216
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h512-512-192_actsilu_nmln_dp0.0397431_bs288_lr8.69904e-5_wd0_dep4_h1512_h2512_h3192_h496,74,2,0.0063294079154729,COMPLETE,288,8.699037355645859e-05,0.0,4,512,512,192,96,silu,lay_norm,0.03974313630683449
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h512-512_actlrelu_nmnone_dp0.0987591_bs32_lr0.00057532_wd0.0003_dep2_h1512_h2512_h3384_h4256,42,3,0.0093180891126394,COMPLETE,32,0.0005753204123625087,0.0003,2,512,512,384,256,leakyrelu,none,0.09875911927287816
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h512-256-128_actsilu_nmnone_dp0.107868_bs288_lr0.000179976_wd0.0003_dep3_h1512_h2256_h3128_h4256,127,4,0.0061844810843467,COMPLETE,288,0.00017997562632086168,0.0003,3,512,256,128,256,silu,none,0.10786844838313014
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h768-512_actsilu_nmnone_dp0.0601757_bs416_lr0.000732507_wd0.0001_dep2_h1768_h2512_h3192_h4160,102,5,0.0064599076285958,COMPLETE,416,0.0007325068062521802,0.0001,2,768,512,192,160,silu,none,0.06017566196335394
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h1024-256_actgelu_nmln_dp0.0373037_bs160_lr5.5842e-5_wd3e-5_dep2_h11024_h2256_h3384_h496,193,6,0.0053222132846713,COMPLETE,160,5.5842008357279656e-05,3e-05,2,1024,256,384,96,gelu,lay_norm,0.03730370207997085
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h512-512_actgelu_nmln_dp0.179443_bs32_lr0.000293589_wd0.0003_dep2_h1512_h2512_h3512_h496,152,7,0.0050984481349587,COMPLETE,32,0.0002935887755377983,0.0003,2,512,512,512,96,gelu,lay_norm,0.17944315159066537
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h512-256-384_actsilu_nmnone_dp0.0474498_bs480_lr0.000333161_wd1e-5_dep3_h1512_h2256_h3384_h432,147,8,0.0059189000166952,COMPLETE,480,0.00033316087233016116,1e-05,3,512,256,384,32,silu,none,0.04744981749936002
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h768-512_actsilu_nmnone_dp0.0354221_bs192_lr0.000467927_wd1e-6_dep2_h1768_h2512_h3320_h4160,94,9,0.0061250682920217,COMPLETE,192,0.00046792657831645605,1e-06,2,768,512,320,160,silu,none,0.03542213588140979
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h512-256-320_actrelu_nmln_dp0.103666_bs512_lr0.000871083_wd0.0001_dep4_h1512_h2256_h3320_h4256,120,10,0.0059428000822663,COMPLETE,512,0.0008710833180680549,0.0001,4,512,256,320,256,relu,lay_norm,0.10366593047274736
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h768-512-448_actlrelu_nmnone_dp0.108529_bs480_lr0.000459973_wd0.0005_dep4_h1768_h2512_h3448_h4256,99,11,0.0060898140072822,COMPLETE,480,0.00045997284763952845,0.0005,4,768,512,448,256,leakyrelu,none,0.10852892694151534
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h512-384_actgelu_nmln_dp0.168974_bs160_lr0.000209781_wd0.0003_dep2_h1512_h2384_h3448_h4128,89,12,0.0059781419113278,COMPLETE,160,0.0002097810955176439,0.0003,2,512,384,448,128,gelu,lay_norm,0.16897412243020796
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h1024-256_actgelu_nmln_dp0.0390344_bs256_lr5.07758e-5_wd0.0005_dep2_h11024_h2256_h3128_h432,137,13,0.0055046346969902,COMPLETE,256,5.0775796768042326e-05,0.0005,2,1024,256,128,32,gelu,lay_norm,0.03903438184604192
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h1024-256_actlrelu_nmln_dp0.0378918_bs256_lr6.20467e-5_wd3e-5_dep2_h11024_h2256_h3512_h464,91,14,0.0062041031196713,COMPLETE,256,6.204669729821129e-05,3e-05,2,1024,256,512,64,leakyrelu,lay_norm,0.03789176558678772
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h1024-256_actgelu_nmln_dp0.122835_bs96_lr6.62824e-5_wd3e-5_dep2_h11024_h2256_h3256_h4192,117,15,0.0056828414089977,COMPLETE,96,6.628239326922448e-05,3e-05,2,1024,256,256,192,gelu,lay_norm,0.12283549581433637
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h512-512_actrelu_nmln_dp0.152993_bs96_lr0.000130871_wd3e-5_dep2_h1512_h2512_h3512_h464,109,16,0.0058646933175623,COMPLETE,96,0.0001308708820244711,3e-05,2,512,512,512,64,relu,lay_norm,0.15299292693656122
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h768-512-512_actgelu_nmln_dp0.164369_bs32_lr0.000967218_wd0.0003_dep4_h1768_h2512_h3512_h496,102,17,0.0057690325193107,COMPLETE,32,0.0009672176649109372,0.0003,4,768,512,512,96,gelu,lay_norm,0.1643691520555323
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h1024-256_actgelu_nmln_dp0.0117056_bs32_lr5.18081e-5_wd3e-5_dep2_h11024_h2256_h3448_h4128,77,18,0.0056625083088874,COMPLETE,32,5.180808545163806e-05,3e-05,2,1024,256,448,128,gelu,lay_norm,0.011705645282108431
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h512-512-512_actgelu_nmnone_dp0.158572_bs64_lr0.000210136_wd0_dep4_h1512_h2512_h3512_h4128,35,19,0.0088862525299191,COMPLETE,64,0.00021013558971015418,0.0,4,512,512,512,128,gelu,none,0.15857191575660995
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h1024-512-320_actgelu_nmln_dp0.0292909_bs64_lr7.7255e-5_wd3e-5_dep3_h11024_h2512_h3320_h432,106,20,0.0050949235446751,COMPLETE,64,7.725501375462285e-05,3e-05,3,1024,512,320,32,gelu,lay_norm,0.02929090679901708
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h1024-512-320_actgelu_nmln_dp0.0514272_bs224_lr8.56521e-5_wd3e-5_dep3_h11024_h2512_h3320_h432,104,21,0.005436644423753,COMPLETE,224,8.56520865634648e-05,3e-05,3,1024,512,320,32,gelu,lay_norm,0.05142722323221359
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h1024-512_actgelu_nmnone_dp0.0236789_bs64_lr0.000111797_wd3e-5_dep2_h11024_h2512_h364_h496,70,22,0.0059882658533751,COMPLETE,64,0.00011179691672992762,3e-05,2,1024,512,64,96,gelu,none,0.02367887088782457
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h512-512_actgelu_nmnone_dp0.181135_bs32_lr0.000376835_wd0.0003_dep2_h1512_h2512_h3448_h4128,37,23,0.0115787200629711,COMPLETE,32,0.0003768354615248359,0.0003,2,512,512,448,128,gelu,none,0.18113475897821418
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h768-512-384_actgelu_nmnone_dp0.0128425_bs64_lr7.6901e-5_wd3e-5_dep4_h1768_h2512_h3384_h4128,113,24,0.0054251132532954,COMPLETE,64,7.690096808754417e-05,3e-05,4,768,512,384,128,gelu,none,0.012842499704582053
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h768-512-512_actgelu_nmln_dp0.166828_bs32_lr0.000211596_wd0.0001_dep3_h1768_h2512_h3512_h496,68,25,0.0060786232352256,COMPLETE,32,0.00021159615481737155,0.0001,3,768,512,512,96,gelu,lay_norm,0.1668278114627494
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h768-256_actlrelu_nmnone_dp0.0317781_bs96_lr7.32739e-5_wd1e-5_dep2_h1768_h2256_h3320_h4128,77,26,0.0063550001941621,COMPLETE,96,7.327391905266804e-05,1e-05,2,768,256,320,128,leakyrelu,none,0.03177814667275175
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h1024-512-192_actrelu_nmln_dp0.0145239_bs160_lr6.49467e-5_wd3e-5_dep4_h11024_h2512_h3192_h464,168,27,0.0054463907144963,COMPLETE,160,6.494671787800984e-05,3e-05,4,1024,512,192,64,relu,lay_norm,0.01452393710141866
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h1024-512_actgelu_nmln_dp0.0290305_bs32_lr0.000118531_wd0_dep2_h11024_h2512_h3448_h464,126,28,0.00522594852373,COMPLETE,32,0.00011853106343499512,0.0,2,1024,512,448,64,gelu,lay_norm,0.02903045781829538
ZINC_SMILES_HRR_1024_F64_5G1NG4,sa_score,pr_sa_score_ZincSmilesHRR1024F645G1NG4_h768-512_actgelu_nmln_dp0.00794812_bs32_lr5.62411e-5_wd0_dep2_h1768_h2512_h3448_h432,54,29,0.0057551129721105,COMPLETE,32,5.6241093531333366e-05,0.0,2,768,512,448,32,gelu,lay_norm,0.007948121289319834
