dataset,exp_dir_name,number,value,state,batch_size,lr,weight_decay,num_flows,num_hidden_channels
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f4_hid1600_lr0.000862736_wd0.0001_bs192_an,0,-255.9234269895785,COMPLETE,192,0.0008627358286640176,0.0001,4,1600
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f7_hid800_lr9.4456e-5_wd0.0003_bs448_an,1,-2833.573020430654,COMPLETE,448,9.445600138094707e-05,0.0003,7,800
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f16_hid1600_lr0.000525421_wd0.0005_bs256_an,2,-5536.847378633109,COMPLETE,256,0.0005254210669345883,0.0005,16,1600
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f8_hid1200_lr6.69953e-5_wd0.0001_bs160_an,3,-7620.84781550252,COMPLETE,160,6.699530280754895e-05,0.0001,8,1200
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f4_hid800_lr8.69904e-5_wd0_bs288_an,4,-33.86148809982806,COMPLETE,288,8.699037355645859e-05,0.0,4,800
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f14_hid400_lr0.000112721_wd0.0005_bs224_an,5,-2396.5426585450864,COMPLETE,224,0.00011272058498680245,0.0005,14,400
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f8_hid400_lr0.00057532_wd0.0003_bs32_an,6,-828.3281004910548,COMPLETE,32,0.0005753204123625087,0.0003,8,400
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f14_hid800_lr0.000132447_wd3e-6_bs160_an,7,-9159.54359340924,COMPLETE,160,0.00013244734603681335,3e-06,14,800
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f9_hid1600_lr0.000179976_wd0.0003_bs288_an,8,-8218.184328691766,COMPLETE,288,0.00017997562632086168,0.0003,9,1600
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f15_hid1200_lr6.29685e-5_wd3e-6_bs128_an,9,2823.6009375846397,COMPLETE,128,6.296847508763171e-05,3e-06,15,1200
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f15_hid800_lr0.000160949_wd3e-6_bs224_an,13,-9777.77833710401,COMPLETE,224,0.0001609492948040218,3e-06,15,800
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f16_hid800_lr0.000430683_wd3e-6_bs512_an,14,-3853.668747042458,COMPLETE,512,0.0004306828279492831,3e-06,16,800
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f16_hid400_lr0.000154612_wd3e-6_bs32_an,15,-9574.836485664502,COMPLETE,32,0.00015461167827442003,3e-06,16,400
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f16_hid1200_lr0.000153086_wd3e-6_bs352_an,16,-6603.752522430135,COMPLETE,352,0.00015308600964976195,3e-06,16,1200
QM9_SMILES_HRR_1600_F64_G1G3,nvp_QM9SmilesHRR1600F64G1G3_f9_hid800_lr0.000167241_wd3e-6_bs128_an,18,-9879.07014939989,COMPLETE,128,0.00016724130213418152,3e-06,9,800
