dataset,exp_dir_name,number,value,state,batch_size,lr,weight_decay,num_flows,num_hidden_channels
QM9_SMILES_HRR_1600_F64_G1NG3,nvp_QM9SmilesHRR1600F64G1NG3_f4_hid1600_lr0.000862736_wd0.0001_bs192_an,0,-11059.90846855147,COMPLETE,192,0.000862735828664,0.0001,4,1600
QM9_SMILES_HRR_1600_F64_G1NG3,nvp_QM9SmilesHRR1600F64G1NG3_f16_hid400_lr0.000862736_wd0.0001_bs192_an,1,-13697.061633599347,COMPLETE,192,0.000862735828664,0.0001,16,400
QM9_SMILES_HRR_1600_F64_G1NG3,nvp_QM9SmilesHRR1600F64G1NG3_f8_hid800_lr9.4456e-5_wd0.0003_bs448_an,2,-6260.736510003927,COMPLETE,448,9.445600138094708e-05,0.0003,8,800
QM9_SMILES_HRR_1600_F64_G1NG3,nvp_QM9SmilesHRR1600F64G1NG3_f14_hid1600_lr0.000525421_wd0.0005_bs256_an,3,-14866.565591568022,COMPLETE,256,0.0005254210669345,0.0005,14,1600
QM9_SMILES_HRR_1600_F64_G1NG3,nvp_QM9SmilesHRR1600F64G1NG3_f10_hid800_lr6.69953e-5_wd0.0001_bs160_an,4,-7666.381409647108,COMPLETE,160,6.699530280754895e-05,0.0001,10,800
QM9_SMILES_HRR_1600_F64_G1NG3,nvp_QM9SmilesHRR1600F64G1NG3_f8_hid400_lr8.69904e-5_wd0_bs288_an,5,-7522.705263082992,COMPLETE,288,8.699037355645859e-05,0.0,8,400
QM9_SMILES_HRR_1600_F64_G1NG3,nvp_QM9SmilesHRR1600F64G1NG3_f6_hid1600_lr0.000112721_wd0.0005_bs224_an,6,-7717.381818564135,COMPLETE,224,0.0001127205849868,0.0005,6,1600
QM9_SMILES_HRR_1600_F64_G1NG3,nvp_QM9SmilesHRR1600F64G1NG3_f4_hid800_lr0.00057532_wd0.0003_bs32_an,7,-9409.23847336847,COMPLETE,32,0.0005753204123625,0.0003,4,800
QM9_SMILES_HRR_1600_F64_G1NG3,nvp_QM9SmilesHRR1600F64G1NG3_f10_hid1600_lr0.000132447_wd3e-6_bs160_an,8,-16216.236458632977,COMPLETE,160,0.0001324473460368,3e-06,10,1600
QM9_SMILES_HRR_1600_F64_G1NG3,nvp_QM9SmilesHRR1600F64G1NG3_f13_hid800_lr0.000179976_wd0.0003_bs288_an,9,-7425.891403749062,COMPLETE,288,0.0001799756263208,0.0003,13,800
QM9_SMILES_HRR_1600_F64_G1NG3,nvp_QM9SmilesHRR1600F64G1NG3_f16_hid400_lr0.000345605_wd3e-6_bs160_an,10,-22221.78581340909,COMPLETE,160,0.000345604557101,3e-06,16,400
