dataset,exp_dir_name,number,value,state,batch_size,lr,weight_decay,num_flows,num_hidden_channels
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f16_hid512_lr0.000862736_wd0.0001_bs192_an,0,-6595.5654296875,COMPLETE,192,0.000862735828664,0.0001,16,512
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f8_hid512_lr9.4456e-5_wd0.0003_bs448_an,1,-3978.2548828125,COMPLETE,448,9.445600138094708e-05,0.0003,8,512
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f14_hid1024_lr0.000525421_wd0.0005_bs256_an,2,-2966.25439453125,COMPLETE,256,0.0005254210669345,0.0005,14,1024
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f10_hid512_lr6.69953e-5_wd0.0001_bs160_an,3,-4660.2314453125,COMPLETE,160,6.699530280754895e-05,0.0001,10,512
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f8_hid512_lr8.69904e-5_wd0_bs288_an,4,-4255.2958984375,COMPLETE,288,8.699037355645859e-05,0.0,8,512
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f6_hid1024_lr0.000112721_wd0.0005_bs224_an,5,-4679.7236328125,COMPLETE,224,0.0001127205849868,0.0005,6,1024
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f4_hid512_lr0.00057532_wd0.0003_bs32_an,6,-4211.13232421875,COMPLETE,32,0.0005753204123625,0.0003,4,512
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f10_hid1024_lr0.000132447_wd3e-6_bs160_an,7,-6588.82666015625,COMPLETE,160,0.0001324473460368,3e-06,10,1024
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f13_hid768_lr0.000179976_wd0.0003_bs288_an,8,-6320.58251953125,COMPLETE,288,0.0001799756263208,0.0003,13,768
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f11_hid1024_lr6.29685e-5_wd3e-6_bs128_an,9,-6122.65771484375,COMPLETE,128,6.296847508763171e-05,3e-06,11,1024
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f13_hid1024_lr0.000685394_wd3e-6_bs160_an,10,-6557.18896484375,COMPLETE,160,0.0006853938494784,3e-06,13,1024
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f14_hid768_lr0.000774757_wd0.0001_bs128_an,11,-5644.15478515625,COMPLETE,128,0.0007747574778941,0.0001,14,768
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f9_hid1024_lr0.000549695_wd0.0003_bs352_an,12,-2782.663818359375,COMPLETE,352,0.0005496946642304,0.0003,9,1024
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f16_hid512_lr0.000138038_wd0.0003_bs320_an,13,-5337.81884765625,COMPLETE,320,0.0001380379975266,0.0003,16,512
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f11_hid1024_lr0.000640292_wd3e-6_bs192_an,14,-7104.375,COMPLETE,192,0.0006402924813668,3e-06,11,1024
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f7_hid1024_lr0.001_wd3e-6_bs352_an,15,-4201.83935546875,COMPLETE,352,0.0009999999999999,3e-06,7,1024
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f13_hid768_lr0.000385589_wd3e-6_bs224_an,16,-6473.21630859375,COMPLETE,224,0.0003855889499051,3e-06,13,768
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f13_hid1024_lr0.001_wd0.0003_bs224_an,17,-6113.22607421875,COMPLETE,224,0.0009999999999999,0.0003,13,1024
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f11_hid1024_lr0.001_wd3e-6_bs192_an,18,-5923.0361328125,COMPLETE,192,0.0009999999999999,3e-06,11,1024
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f11_hid1024_lr0.000343816_wd3e-6_bs160_an,19,-7608.173828125,COMPLETE,160,0.0003438163640966,3e-06,11,1024
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f11_hid1024_lr0.000345181_wd3e-6_bs192_an,20,-6963.77001953125,COMPLETE,192,0.0003451807241526,3e-06,11,1024
ZincSmilesHRR1024F645G1NG4,nvp_ZincSmilesHRR1024F645G1NG4_f11_hid1024_lr0.000313799_wd3e-6_bs96_an,21,-7180.02001953125,COMPLETE,96,0.000313799280868,3e-06,11,1024
