dataset,exp_dir_name,number,value,state,batch_size,lr,weight_decay,num_flows,num_hidden_channels,smax_initial,smax_final,smax_warmup_epochs
qm9,nvp_qm9_h1600_f8_hid512_s42_lr1e-3_wd0.0_an,0,-2071.76953125,COMPLETE,64,0.001,0.0,8,512,1.0,6.0,15
qm9,nvp_qm9_h1600_f12_hid768_s42_lr1e-3_wd1e-4_an,1,-2190.46484375,COMPLETE,64,0.001,0.0001,12,768,1.0,6.0,15
qm9,nvp_qm9_h1600_f12_hid384_s42_lr1e-3_wd1e-4_an,2,-2497.44970703125,COMPLETE,64,0.001,0.0001,12,384,1.0,6.0,15
qm9,nvp_qm9_h1600_f12_hid1024_s42_lr5e-4_wd1e-4_an,3,-4172.55712890625,COMPLETE,64,0.0005,0.0001,12,1024,1.0,6.0,15
qm9,nvp_qm9_h1600_f12_hid384_s42_lr1e-3_wd0.0_an,4,-2516.53857421875,COMPLETE,64,0.001,0.0,12,384,1.0,6.0,15
qm9,nvp_qm9_h1600_f8_hid512_s42_lr1e-3_wd0.0_noan,5,-2125.863037109375,COMPLETE,64,0.001,0.0,8,512,1.0,6.0,15
qm9,nvp_qm9_h1600_f8_hid512_s42_lr1e-3_wd1e-4_an,6,-1689.478759765625,COMPLETE,64,0.001,0.0001,8,512,1.0,6.0,15
qm9,nvp_qm9_h1600_f6_hid1024_s42_lr1e-3_wd0.0_an,7,-2201.01611328125,COMPLETE,64,0.001,0.0,6,1024,1.0,6.0,15
qm9,nvp_qm9_h1600_f4_hid256_s42_lr1e-3_wd0.0_an,8,-1064.4775390625,COMPLETE,64,0.001,0.0,4,256,1.0,6.0,15
qm9,nvp_qm9_h1600_f8_hid512_s42_lr5e-4_wd0.0_an,9,-3322.677734375,COMPLETE,64,0.0005,0.0,8,512,1.0,6.0,15
qm9,nvp_qm9_h1600_f6_hid1024_s42_lr1e-3_wd1e-4_an,10,-2239.69091796875,COMPLETE,64,0.001,0.0001,6,1024,1.0,6.0,15
qm9,nvp_qm9_h1600_f4_hid256_s42_lr1e-3_wd1e-4_an,11,-3358.3955078125,COMPLETE,64,0.001,0.0001,4,256,1.0,6.0,15
qm9,nvp_qm9_h1600_f6_hid512_s42_lr1e-3_wd0.0_ane,12,-2604.044921875,COMPLETE,64,0.001,0.0,6,512,1.0,6.0,15
qm9,nvp_qm9_h1600_f12_hid1024_s42_lr5e-4_wd0.0_an,13,-4308.1337890625,COMPLETE,64,0.0005,0.0,12,1024,1.0,6.0,15
qm9,nvp_qm9_h1600_f12_hid512_s42_lr1e-3_wd0.0_an,14,-2442.291015625,COMPLETE,64,0.001,0.0,12,512,1.0,6.0,15
qm9,nvp_qm9_h1600_f4_hid512_s42_lr1e-3_wd0.0_an,15,-1083.8980712890625,COMPLETE,64,0.001,0.0,4,512,1.0,6.0,15
qm9,nvp_qm9_h1600_f12_hid768_s42_lr1e-3_wd0.0_an,16,-2198.174560546875,COMPLETE,64,0.001,0.0,12,768,1.0,6.0,15
qm9,nvp_qm9_f12_hid896_lr0.000474843_wd0_bs64_smf5.99998_smi1_smw15_an,17,-975.7210083007812,COMPLETE,64,0.00047484308841505975,0.0,12,896,1.0000021991497068,5.9999806584277025,15
qm9,nvp_qm9_f12_hid1216_lr0.000528089_wd0_bs64_smf6.00021_smi1.0002_smw15_an,18,-3268.693359375,COMPLETE,64,0.0005280886148438021,0.0,12,1216,1.0002028394661027,6.000206507442819,15
