exp_dir_name,batch_size,lr,weight_decay,num_flows,num_hidden_channels,smax_initial,smax_final,smax_warmup_epochs,value
nvp_zinc_h7744_f8_hid512_s42_lr1e-3_wd1e-4_an,64,0.001,0.0001,8,512,1.0,6.0,15,-11355.8349609375
nvp_zinc_h7744_f12_hid384_s42_lr1e-3_wd1e-4_an,64,0.001,0.0001,12,384,1.0,6.0,15,-14973.88671875
nvp_zinc_h7744_f6_hid1024_s42_lr1e-3_wd1e-4_an,64,0.001,0.0001,6,1024,1.0,6.0,15,-10261.697265625
nvp_zinc_h7744_f6_hid1024_s42_lr1e-3_wd0.0_an,64,0.001,0.0,6,1024,1.0,6.0,15,-9976.3564453125
nvp_zinc_h7744_f4_hid256_s42_lr1e-3_wd1e-4_an,64,0.001,0.0001,4,256,1.0,6.0,15,-2940.883544921875
nvp_zinc_h7744_f8_hid512_s42_lr5e-4_wd0.0_an,64,0.0005,0.0,8,512,1.0,6.0,15,-15153.5126953125
nvp_zinc_h7744_f8_hid512_s42_lr1e-3_wd0.0_an,64,0.001,0.0,8,512,1.0,6.0,15,-13394.86328125
nvp_zinc_h7744_f4_hid512_s42_lr1e-3_wd0.0_an,64,0.001,0.0,4,512,1.0,6.0,15,-4108.12109375
nvp_zinc_h7744_f4_hid512_s42_lr1e-3_wd0.0_an,64,0.001,0.0,4,512,1.0,6.0,15,-4108.12109375
nvp_zinc_h7744_f12_hid512_s42_lr1e-3_wd0.0_an,64,0.001,0.0,12,512,1.0,6.0,15,-14934.205078125
nvp_zinc_h7744_f12_hid1280_s42_lr5e-4_wd1e-4_an,64,0.0005,0.0001,12,1280,1.0,6.0,15,-18244.00390625
nvp_zinc_h7744_f6_hid512_s42_lr1e-3_wd0.0_an,64,0.001,0.0,6,512,1.0,6.0,15,-9837.6328125
nvp_zinc_h7744_f12_hid1024_s42_lr5e-4_wd0.0_an,64,0.0005,0.0,12,1024,1.0,6.0,15,-18494.634765625
nvp_zinc_h7744_f12_hid768_s42_lr1e-3_wd0.0_an,64,0.001,0.0,12,768,1.0,6.0,15,-15762.0615234375
nvp_zinc_h7744_f12_hid384_s42_lr1e-3_wd0.0_an,64,0.001,0.0,12,384,1.0,6.0,15,-14633.5537109375
nvp_zinc_h7744_f12_hid768_s42_lr1e-3_wd1e-4_an,64,0.001,0.0001,12,768,1.0,6.0,15,-15831.3916015625
nvp_zinc_h7744_f12_hid1024_s42_lr5e-4_wd1e-4_an,64,0.0005,0.0001,12,1024,1.0,6.0,15,-18494.634765625
nvp_zinc_h7744_f12_hid1280_s42_lr5e-4_wd0.0_an,64,0.0005,0.0,12,1280,1.0,6.0,15,-18244.00390625
nvp_zinc_h7744_f4_hid256_s42_lr1e-3_wd0.0_an,64,0.001,0.0,4,256,1.0,6.0,15,-2688.65966796875
nvp_zinc_h7744_f8_hid512_s42_lr1e-3_wd0.0_noan,64,0.001,0.0,8,512,1.0,6.0,15,-10562.544921875
