gen_path,best_epoch,dataset,batch_size,lr,weight_decay,num_flows,num_hidden_channels,smax_initial,smax_final,smax_warmup_epochs,val_nll_best
0_real_nvp_v2/nvp_zinc_h7744_f8_hid512_s42_lr1e-3_wd1e-4_an/models/epoch12-val-11355.8350.ckpt,12.0,zinc,64,0.001,0.0001,8,512,1.0,6.0,15,-11355.8349609375
0_real_nvp_v2/nvp_zinc_h7744_f12_hid384_s42_lr1e-3_wd1e-4_an/models/epoch15-val-14973.8867.ckpt,15.0,zinc,64,0.001,0.0001,12,384,1.0,6.0,15,-14973.88671875
0_real_nvp_v2/nvp_qm9_h1600_f8_hid512_s42_lr1e-3_wd0.0_an/models/epoch25-val-2071.7695.ckpt,25.0,qm9,64,0.001,0.0,8,512,1.0,6.0,15,-2071.76953125
0_real_nvp_v2/nvp_zinc_h7744_f6_hid1024_s42_lr1e-3_wd1e-4_an/models/epoch10-val-10261.6973.ckpt,10.0,zinc,64,0.001,0.0001,6,1024,1.0,6.0,15,-10261.697265625
0_real_nvp_v2/nvp_qm9_h1600_f12_hid768_s42_lr1e-3_wd1e-4_an/models/epoch13-val-2190.4648.ckpt,13.0,qm9,64,0.001,0.0001,12,768,1.0,6.0,15,-2190.46484375
0_real_nvp_v2/nvp_qm9_h1600_f12_hid384_s42_lr1e-3_wd1e-4_an/models/epoch22-val-2497.4497.ckpt,22.0,qm9,64,0.001,0.0001,12,384,1.0,6.0,15,-2497.44970703125
0_real_nvp_v2/nvp_zinc_h7744_f6_hid1024_s42_lr1e-3_wd0.0_an/models/epoch13-val-9976.3564.ckpt,13.0,zinc,64,0.001,0.0,6,1024,1.0,6.0,15,-9976.3564453125
0_real_nvp_v2/nvp_qm9_h1600_f12_hid1024_s42_lr5e-4_wd1e-4_an/models/epoch42-val-4172.5571.ckpt,42.0,qm9,64,0.0005,0.0001,12,1024,1.0,6.0,15,-4172.55712890625
0_real_nvp_v2/nvp_qm9_h1600_f12_hid384_s42_lr1e-3_wd0.0_an/models/epoch26-val-2516.5386.ckpt,26.0,qm9,64,0.001,0.0,12,384,1.0,6.0,15,-2516.53857421875
0_real_nvp_v2/nvp_zinc_h7744_f4_hid256_s42_lr1e-3_wd1e-4_an/models/epoch16-val-2940.8835.ckpt,16.0,zinc,64,0.001,0.0001,4,256,1.0,6.0,15,-2940.883544921875
0_real_nvp_v2/nvp_zinc_h7744_f8_hid512_s42_lr5e-4_wd0.0_an/models/epoch21-val-15153.5127.ckpt,21.0,zinc,64,0.0005,0.0,8,512,1.0,6.0,15,-15153.5126953125
0_real_nvp_v2/nvp_zinc_h7744_f8_hid512_s42_lr1e-3_wd0.0_an/models/epoch11-val-13394.8633.ckpt,11.0,zinc,64,0.001,0.0,8,512,1.0,6.0,15,-13394.86328125
0_real_nvp_v2/nvp_qm9_h1600_f8_hid512_s42_lr1e-3_wd0.0_noan/models/epoch111-val-2125.8630.ckpt,111.0,qm9,64,0.001,0.0,8,512,1.0,6.0,15,-2125.863037109375
0_real_nvp_v2/nvp_zinc_h7744_f4_hid512_s42_lr1e-3_wd0.0_an/models/epoch13-val-4108.1211.ckpt,13.0,zinc,64,0.001,0.0,4,512,1.0,6.0,15,-4108.12109375
0_real_nvp_v2/nvp_zinc_h7744_f4_hid512_s42_lr1e-3_wd0.0_an/models/epoch17-val-3839.6270.ckpt,13.0,zinc,64,0.001,0.0,4,512,1.0,6.0,15,-4108.12109375
0_real_nvp_v2/nvp_qm9_h1600_f8_hid512_s42_lr1e-3_wd1e-4_an/models/epoch12-val-1689.4788.ckpt,12.0,qm9,64,0.001,0.0001,8,512,1.0,6.0,15,-1689.478759765625
0_real_nvp_v2/nvp_qm9_h1600_f6_hid1024_s42_lr1e-3_wd0.0_an/models/epoch88-val-2201.0161.ckpt,88.0,qm9,64,0.001,0.0,6,1024,1.0,6.0,15,-2201.01611328125
0_real_nvp_v2/nvp_zinc_h7744_f12_hid512_s42_lr1e-3_wd0.0_an/models/epoch12-val-14934.2051.ckpt,12.0,zinc,64,0.001,0.0,12,512,1.0,6.0,15,-14934.205078125
0_real_nvp_v2/nvp_qm9_h1600_f4_hid256_s42_lr1e-3_wd0.0_an/models/epoch100-val-1064.4775.ckpt,100.0,qm9,64,0.001,0.0,4,256,1.0,6.0,15,-1064.4775390625
0_real_nvp_v2/nvp_qm9_h1600_f8_hid512_s42_lr5e-4_wd0.0_an/models/epoch41-val-3322.6777.ckpt,41.0,qm9,64,0.0005,0.0,8,512,1.0,6.0,15,-3322.677734375
0_real_nvp_v2/nvp_qm9_h1600_f6_hid1024_s42_lr1e-3_wd1e-4_an/models/epoch126-val-2239.6909.ckpt,126.0,qm9,64,0.001,0.0001,6,1024,1.0,6.0,15,-2239.69091796875
0_real_nvp_v2/nvp_zinc_h7744_f12_hid1280_s42_lr5e-4_wd1e-4_an/models/epoch10-val-18244.0039.ckpt,10.0,zinc,64,0.0005,0.0001,12,1280,1.0,6.0,15,-18244.00390625
0_real_nvp_v2/nvp_zinc_h7744_f6_hid512_s42_lr1e-3_wd0.0_an/models/epoch12-val-9837.6328.ckpt,12.0,zinc,64,0.001,0.0,6,512,1.0,6.0,15,-9837.6328125
0_real_nvp_v2/nvp_qm9_h1600_f4_hid256_s42_lr1e-3_wd1e-4_an/models/epoch599-val-3358.3955.ckpt,599.0,qm9,64,0.001,0.0001,4,256,1.0,6.0,15,-3358.3955078125
0_real_nvp_v2/nvp_zinc_h7744_f12_hid1024_s42_lr5e-4_wd0.0_an/models/epoch13-val-18494.6348.ckpt,13.0,zinc,64,0.0005,0.0,12,1024,1.0,6.0,15,-18494.634765625
0_real_nvp_v2/nvp_qm9_h1600_f6_hid512_s42_lr1e-3_wd0.0_an/models/epoch164-val-2604.0449.ckpt,164.0,qm9,64,0.001,0.0,6,512,1.0,6.0,15,-2604.044921875
0_real_nvp_v2/nvp_qm9_h1600_f12_hid1024_s42_lr5e-4_wd0.0_an/models/epoch50-val-4308.1338.ckpt,50.0,qm9,64,0.0005,0.0,12,1024,1.0,6.0,15,-4308.1337890625
0_real_nvp_v2/nvp_zinc_h7744_f12_hid768_s42_lr1e-3_wd0.0_an/models/epoch12-val-15762.0615.ckpt,12.0,zinc,64,0.001,0.0,12,768,1.0,6.0,15,-15762.0615234375
0_real_nvp_v2/nvp_qm9_h1600_f12_hid512_s42_lr1e-3_wd0.0_an/models/epoch19-val-2442.2910.ckpt,19.0,qm9,64,0.001,0.0,12,512,1.0,6.0,15,-2442.291015625
0_real_nvp_v2/nvp_zinc_h7744_f12_hid384_s42_lr1e-3_wd0.0_an/models/epoch13-val-14633.5537.ckpt,13.0,zinc,64,0.001,0.0,12,384,1.0,6.0,15,-14633.5537109375
0_real_nvp_v2/nvp_zinc_h7744_f12_hid768_s42_lr1e-3_wd1e-4_an/models/epoch11-val-15831.3916.ckpt,11.0,zinc,64,0.001,0.0001,12,768,1.0,6.0,15,-15831.3916015625
0_real_nvp_v2/nvp_zinc_h7744_f12_hid1024_s42_lr5e-4_wd1e-4_an/models/epoch13-val-18494.6348.ckpt,13.0,zinc,64,0.0005,0.0001,12,1024,1.0,6.0,15,-18494.634765625
0_real_nvp_v2/nvp_zinc_h7744_f12_hid1280_s42_lr5e-4_wd0.0_an/models/epoch10-val-18244.0039.ckpt,10.0,zinc,64,0.0005,0.0,12,1280,1.0,6.0,15,-18244.00390625
0_real_nvp_v2/nvp_qm9_h1600_f4_hid512_s42_lr1e-3_wd0.0_an/models/epoch111-val-1083.8981.ckpt,111.0,qm9,64,0.001,0.0,4,512,1.0,6.0,15,-1083.8980712890625
0_real_nvp_v2/nvp_qm9_h1600_f12_hid768_s42_lr1e-3_wd0.0_an/models/epoch12-val-2198.1746.ckpt,12.0,qm9,64,0.001,0.0,12,768,1.0,6.0,15,-2198.174560546875
0_real_nvp_v2/nvp_zinc_h7744_f4_hid256_s42_lr1e-3_wd0.0_an/models/epoch16-val-2688.6597.ckpt,16.0,zinc,64,0.001,0.0,4,256,1.0,6.0,15,-2688.65966796875
0_real_nvp_v2/nvp_zinc_h7744_f8_hid512_s42_lr1e-3_wd0.0_noan/models/epoch10-val-10562.5449.ckpt,10.0,zinc,64,0.001,0.0,8,512,1.0,6.0,15,-10562.544921875
